,Z,X,Y
0,1,0,0.05658390612498154
1,1,1,1.3875186761487424
2,0,1,4.289658259425935
3,0,1,0.7430033495018493
4,0,1,2.718527109586538
5,0,0,1.7071687340602681
6,0,0,-1.1029455523953295
7,0,1,1.6386998551499212
8,1,1,0.975059420278025
9,0,0,-2.0701974157301457
10,1,0,-0.4599616239259263
11,0,1,-0.4635512655095517
12,0,1,0.6412292427338754
13,1,1,4.411826326173073
14,1,0,1.8183875195287573
15,0,0,0.8185208832542415
16,0,1,2.0652141795014787
17,0,0,0.3491868336381204
18,1,1,-0.7253549018589662
19,1,0,2.2298005411165387
20,0,0,-2.718550275780453
21,1,1,-1.4210267079183132
22,1,1,1.417505038697335
23,1,0,3.798677601799781
24,1,1,-1.0442107280926873
25,0,1,-1.3792640764085415
26,0,0,2.114287145936252
27,1,1,2.0673384519039426
28,1,1,1.3556271380725455
29,1,0,0.7347617846439034
30,0,1,0.465663512485774
31,0,1,0.13619071849362308
32,0,0,-1.576615801966345
33,1,1,2.1206051774917887
34,1,1,-2.5627147336607354
35,1,1,4.3414044287772064
36,1,0,2.8530402105396306
37,0,1,1.4915367980184755
38,0,0,-0.6754532415511161
39,1,1,0.9892648580117982
40,0,1,1.5097288446773534
41,0,0,4.3874389812069206
42,0,1,0.20858473434416278
43,0,0,2.6775035686265545
44,1,1,-2.2250365212283287
45,0,0,-1.5708758734448705
46,1,1,0.2714698850947257
47,1,0,-4.962380558520457
48,0,0,-0.6871359229459916
49,1,1,-0.08400433163414545
50,1,0,-1.0747290140982468
51,1,1,1.4023651061625197
52,0,1,-1.9627028065626941
53,1,0,2.401257397113264
54,0,0,4.461221205346218
55,1,1,-0.5300990960296649
56,1,1,0.9300172168516055
57,0,1,3.597105334155554
58,1,0,1.6399427538127136
59,0,1,-1.1038682498784609
60,0,1,1.5250679161441192
61,0,0,0.7701458881652209
62,1,0,1.3022559831022626
63,0,1,1.4686421948701507
64,1,0,2.55800050026292
65,1,1,-0.49425227049912346
66,1,1,-0.7993275709743936
67,0,1,0.39758975701300403
68,1,0,1.6442146136945754
69,0,1,0.8083017431574084
70,1,0,4.816062108743714
71,0,0,-2.753301902791196
72,1,1,0.42031148867201595
73,1,0,-1.0886424295100525
74,0,0,4.060953190418651
75,1,1,0.04899320862549861
76,0,1,0.3948927309797385
77,1,1,-0.0679869172564822
78,0,1,4.0034694127935255
79,1,1,1.2506519436509906
80,1,0,3.676892013189545
81,1,0,0.1562906334277523
82,0,0,-3.066484694233444
83,0,1,-0.8386357973048729
84,1,0,-0.048823301601100155
85,1,1,-1.114413998014478
86,0,1,-1.4506730618690309
87,0,0,-2.6932528494409453
88,1,1,1.3926645266676938
89,0,0,0.2721521157679013
90,1,1,4.433173351777379
91,0,0,-4.0143746355281165
92,1,1,1.3635347404536837
93,0,1,1.1010693088322272
94,1,1,0.21332416832257617
95,0,0,3.796691746365335
96,0,1,-2.6304046835805535
97,0,1,3.49893273777965
98,1,1,0.6213109795745106
99,0,0,3.945584068550141
100,0,1,-3.842226165192697
101,0,0,0.47351913766288123
102,0,1,-0.686183842641013
103,1,1,-4.479494468050297
104,0,1,2.1758287587170964
105,1,0,-1.483192378612039
106,1,1,0.6733975673856661
107,0,0,-1.3843704244101116
108,0,1,-1.0332964405129335
109,1,0,1.8474393819466473
110,0,0,3.0213680986255085
111,1,1,-2.6558557061640475
112,0,0,-1.129080233876922
113,1,1,2.7533238117303602
114,0,0,-0.041203462606871466
115,1,1,-0.06391412488093651
116,1,0,3.5658428824057617
117,0,1,-0.6112967209925999
118,0,0,-3.556155702749818
119,0,0,3.9208466835505353
120,0,0,-1.0883627642511717
121,0,1,0.26904105386887445
122,1,0,3.7606763609935916
123,0,1,-0.7051902702851629
124,0,1,-0.6371139773978292
125,0,1,1.642338173969431
126,1,1,0.47745645519781205
127,1,1,0.17675025199233163
128,1,1,2.5624778385654845
129,0,0,-1.9355195441161095
130,1,1,2.447163392985994
131,1,1,3.659852485227238
132,0,0,-2.219547916084752
133,0,0,1.646588348523558
134,1,1,2.286565219505913
135,0,1,-0.2681185453192556
136,0,0,-2.212775032765153
137,0,1,4.108449747109086
138,1,1,-0.6942593707246593
139,1,1,0.37731023075050507
140,1,1,2.081140617730047
141,0,1,0.5865886292946688
142,0,1,-6.454711905456362
143,0,1,3.7027330873446545
144,0,1,0.3438546862469123
145,1,1,0.30090862902337934
146,1,1,0.7505811627008449
147,0,1,0.707348166052433
148,0,1,1.6240798558821645
149,0,1,2.2445018325690937
150,1,1,1.3082189451695097
151,0,1,5.4196212498637095
152,0,0,2.210812087924538
153,1,1,-3.696320745273561
154,0,1,1.8812944307846942
155,1,1,-0.19796665528525567
156,1,1,-4.037684714718783
157,0,1,-0.8783279452956587
158,1,1,1.1411542461712427
159,1,1,2.1161343813474964
160,0,1,1.4758963664903089
161,1,1,-5.665893029642294
162,0,0,-0.6262866571063259
163,1,0,0.10031310165681984
164,0,0,5.0027289010620155
165,1,0,-1.2645336862775742
166,1,0,0.4112383540820441
167,0,1,3.7864442790455155
168,0,0,2.3487010510419233
169,1,1,1.9798482801284734
170,1,0,-1.949015756125537
171,0,0,-0.4638614959009695
172,1,1,0.41481781030400566
173,1,0,1.9232195877917613
174,1,0,-1.09128842632164
175,0,1,1.7148358725296187
176,0,0,1.1907946405752814
177,1,1,1.620284582362002
178,1,1,1.7410140763199808
179,0,1,4.992986919239829
180,1,0,-2.67615432127685
181,1,0,0.2124132322846306
182,1,1,-1.473481909325918
183,1,1,4.739498701353434
184,1,1,-4.413910812615252
185,1,0,2.5608606195789885
186,0,0,4.893465272628672
187,1,1,4.740896583888159
188,1,1,0.6065520879168189
189,1,1,-1.2493892594946043
190,0,1,1.1435101300491948
191,0,0,-4.4373944772244505
192,0,1,-3.5619556811540427
193,0,0,0.9952620945137245
194,0,1,0.49705844092951035
195,0,0,1.4418372934321326
196,0,1,0.7120166103268781
197,0,1,-3.172799955655717
198,1,1,2.4392551359553867
199,1,1,6.368355176253819
200,1,1,4.2070418946293
201,0,1,-3.3047278151043966
202,0,1,3.408063916235316
203,1,1,0.4996348525975101
204,1,1,2.9366806694676266
205,0,0,4.039799274006649
206,1,1,-1.1569986050582846
207,0,0,1.4400270293878292
208,0,1,3.460805575658294
209,1,1,5.830803431390284
210,1,1,3.428252104579246
211,1,0,2.889545390321268
212,0,1,1.4231725751308923
213,0,0,1.6444650061673898
214,1,1,-1.697257024125506
215,0,0,4.556700696998993
216,0,0,1.145519680591658
217,1,1,0.850787800661495
218,0,0,5.33220173435339
219,1,1,1.0410486794815759
220,1,1,0.6970552575570856
221,0,1,0.47797259600447384
222,1,1,3.8457455391051623
223,0,1,0.9373791548743955
224,1,1,3.8052390010193453
225,1,1,-2.028861682906951
226,1,1,0.47561803456787255
227,0,0,-1.8926545828093737
228,0,1,0.012083798826572512
229,1,0,-3.4475478316320634
230,1,1,-1.120841588881481
231,1,1,4.3421917967930135
232,0,1,1.151584017863043
233,1,1,-1.4962816009294957
234,1,1,-0.07008135115114844
235,1,1,-0.43003959642063305
236,0,1,0.07979030729706782
237,1,1,0.5798576423450859
238,1,1,-1.5492233356504155
239,1,0,0.07329019153012478
240,1,1,1.9387888530829622
241,1,1,3.474658229497128
242,1,1,2.2334833261679217
243,1,0,0.6204842891534694
244,1,0,0.8454729941263182
245,1,1,-1.4052170005608413
246,0,0,-3.92618669599004
247,0,1,1.2598431795868197
248,1,0,2.114837080643348
249,0,1,0.040670983215562284
250,1,1,2.245423199741036
251,0,0,2.764326787761438
252,1,0,-4.394745243784759
253,1,1,-2.0831732062685604
254,0,1,1.3801517853447511
255,0,1,0.24275974250727048
256,1,1,0.1858857582155788
257,1,1,2.2609958022495285
258,0,0,-0.7552105079971599
259,1,0,0.6632666440022951
260,1,0,1.5961013575484082
261,0,1,3.16655567357483
262,1,1,0.9541835953898817
263,0,1,-1.624887847075636
264,1,0,2.4824078204532842
265,1,1,2.6067035266984826
266,0,1,2.347929475585456
267,1,1,1.7562625099264453
268,1,1,-0.8254787893993837
269,0,0,-0.558350109746401
270,0,1,1.0189698560810747
271,0,0,-1.936683352787186
272,1,1,-1.9225766564069926
273,1,1,0.9104309673974231
274,0,0,1.6616761914769507
275,1,1,4.675068286927683
276,1,1,-3.340796028526849
277,0,0,-1.428783882596852
278,1,1,2.422461761377576
279,1,0,-1.4642246346680792
280,1,1,0.7631129135506274
281,0,0,0.5740125676696093
282,0,1,-1.5667233277667711
283,1,1,1.2629526564373488
284,1,1,1.7110141103456105
285,0,0,-5.263370258829344
286,0,0,-0.8660541253281062
287,0,0,4.429822998112065
288,0,0,-2.7479089233589655
289,1,1,-3.1974489088262454
290,1,1,1.1507189308388917
291,0,1,3.900425224288
292,0,1,1.104764413218715
293,1,0,-1.086497121338703
294,0,1,1.6451757159841283
295,1,1,-0.9028627807015802
296,0,1,-4.33170432702474
297,0,1,3.8001423378653962
298,0,0,1.059507450717433
299,0,1,0.3044486301266256
300,1,0,-0.36316208643103853
301,1,0,-0.9013957959123267
302,1,1,4.412552515306487
303,1,1,2.6891576069041996
304,0,0,-3.8742463334319392
305,0,1,5.183377830460566
306,1,1,-4.392052521963622
307,0,0,4.534804800809077
308,0,1,-0.09576201474174403
309,0,1,-0.35551702896612236
310,1,1,-1.4519185636544074
311,1,1,1.2807864639249842
312,1,1,-1.11892711756723
313,1,1,0.06816216687494492
314,1,1,1.9814006975781213
315,0,1,1.5085971985071607
316,0,0,-0.8062333097135538
317,1,0,4.023611718258628
318,0,0,-1.1346488417239875
319,0,0,-1.5307209013325997
320,0,1,-0.14299777428672092
321,1,1,-2.4785976908315046
322,1,1,2.5860385491517883
323,0,0,1.1087060755769422
324,0,0,-3.237515244199374
325,1,0,1.280763996167474
326,0,1,1.5832168533403095
327,0,0,1.0344210968776948
328,1,1,-0.5171663249672911
329,1,1,-1.0212005871286316
330,1,0,-2.4764985573774365
331,1,1,1.6406860084878758
332,0,0,-1.026068185599166
333,1,1,-6.164528055387089
334,0,0,-1.1753526037638105
335,1,1,1.6268590413334965
336,0,1,-1.0405943760554721
337,1,1,2.0657291304740877
338,1,1,-5.452359445119254
